round,district,selected,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6
1,,False,0.0032556967,0.09343122,0.7158099,0.0032660242,0.0032554872,0.0032631198,0.17771862
2,Vuosaari,False,0.004213491,0.004223528,0.004220758,0.0042243414,0.004211554,0.0042177276,0.97468865
1,Vanhakaupunki,False,0.27962023,0.003869407,0.003876356,0.0038684972,0.003870422,0.6524649,0.052430186
1,Pitäjänmäki,False,0.4916861,0.0038720889,0.0038705936,0.0038661899,0.48896158,0.0038673822,0.0038760665
1,Kampinmalmi,False,0.0023603821,0.08775086,0.39262912,0.16472031,0.002348863,0.34783053,0.0023599467
2,Kampinmalmi,False,0.28989136,0.36926174,0.32234365,0.0046186964,0.0046320967,0.004618006,0.0046344176
2,Vironniemi,False,0.0033312635,0.10913346,0.4022696,0.27651578,0.0033390615,0.20207064,0.0033402285
2,Vironniemi,True,0.0030428646,0.0030447338,0.98171765,0.0030435687,0.003047638,0.003058874,0.0030446947
1,Vallila,False,0.7336395,0.22415815,0.00842159,0.008430277,0.008447347,0.00844795,0.008455225
2,Vironniemi,False,0.0030503108,0.0030473652,0.5918082,0.0030483578,0.0030510477,0.20820075,0.18779397
1,Vironniemi,True,0.0023900808,0.0023921411,0.07560789,0.27615565,0.30635685,0.0023888843,0.33470854
2,Kaarela,False,0.7185364,0.0021071131,0.0021053553,0.002105234,0.002109259,0.0021063061,0.27093038
1,Kampinmalmi,False,0.005328106,0.0053087138,0.0053063347,0.005303763,0.9681457,0.0052997977,0.005307594
2,Oulunkylä,False,0.009574545,0.009538678,0.009584516,0.7393327,0.009550106,0.009597193,0.21282229
1,Kampinmalmi,False,0.2365651,0.002317591,0.599778,0.0023192381,0.15439127,0.002315701,0.0023131329
2,Ullanlinna,False,0.0024731075,0.9850989,0.0024848862,0.0024948658,0.002483991,0.0024884916,0.0024757218
1,Vallila,False,0.0018633426,0.0018604895,0.0018590394,0.35648915,0.56825095,0.0018592608,0.06781775
2,Munkkiniemi,False,0.0055027846,0.22274771,0.0055145156,0.00551689,0.7497052,0.005510211,0.0055026654
1,Vallila,False,0.004946117,0.16697292,0.004950055,0.5091897,0.30398723,0.004979119,0.004974808
2,Herttoniemi,False,0.7243256,0.0046298564,0.0046311375,0.09618881,0.0046332036,0.0046285368,0.16096286
1,Oulunkylä,False,0.003118432,0.003112368,0.0031167048,0.0031142235,0.0031140365,0.8218747,0.16254956
2,Vironniemi,False,0.003980575,0.0039783176,0.9760965,0.0039844452,0.0039857705,0.003989122,0.003985218
1,Kampinmalmi,False,0.2770718,0.0026124094,0.30177674,0.0026072229,0.06767476,0.0026132006,0.34564388
1,Ullanlinna,False,0.0027614092,0.0027631205,0.1889052,0.0027529655,0.24448924,0.0027538033,0.5555743
1,,False,0.012996183,0.013023124,0.8140014,0.12094602,0.013034966,0.012993822,0.01300453
2,Pitäjänmäki,False,0.003678736,0.6408183,0.0036730203,0.0036745248,0.34080935,0.0036741125,0.003671975
1,,False,0.002808673,0.05913347,0.48135263,0.0028101758,0.0028146245,0.44826555,0.0028148717
1,Kampinmalmi,False,0.016021576,0.015998209,0.39503556,0.015884724,0.525256,0.015898526,0.015905429
1,Kampinmalmi,False,0.13361043,0.0044810562,0.0044764397,0.0044711605,0.0044708624,0.0044802953,0.84400976
1,Pitäjänmäki,False,0.0023493282,0.0023501515,0.002352073,0.14320539,0.53479636,0.0023482575,0.3125984
1,Kampinmalmi,True,0.004620816,0.00462346,0.9722677,0.0046156114,0.004625825,0.0046206973,0.0046258527
2,Oulunkylä,False,0.0075386344,0.0075341472,0.007536829,0.5198258,0.44249022,0.007532567,0.0075418623
1,Pitäjänmäki,False,0.38332626,0.0031881067,0.17192246,0.0031880757,0.0031896734,0.0031826897,0.43200272
2,Oulunkylä,False,0.010260668,0.010235148,0.010334696,0.93842345,0.01026154,0.010237838,0.010246615
1,Kampinmalmi,False,0.0021094226,0.002113703,0.20789973,0.06178767,0.67678654,0.002110101,0.04719289
2,Kaarela,False,0.6056573,0.009572849,0.009575599,0.009540337,0.11779962,0.009532124,0.23832221
1,Malmi,True,0.0031902792,0.0031846983,0.25783226,0.0031827674,0.003193477,0.4655085,0.26390803
2,Vironniemi,False,0.0028645233,0.0028685941,0.20584956,0.47499204,0.3076969,0.0028634444,0.002864905
1,Myllypuro,False,0.286626,0.0038713564,0.0038797427,0.0038926434,0.003874033,0.6457926,0.05206362
1,Kampinmalmi,False,0.0027087985,0.26501146,0.0027111946,0.17201193,0.552146,0.002703669,0.0027069638
2,Vanhakaupunki,False,0.00281147,0.0028066332,0.40021703,0.0028095332,0.3600552,0.2284915,0.0028086533
1,Vuosaari,False,0.16754614,0.004362445,0.22642884,0.0043480424,0.58858275,0.0043641403,0.0043676686
1,Mellunkylä,False,0.01788893,0.017882131,0.01791378,0.4240673,0.017868526,0.4864071,0.01797227
2,Vallila,False,0.0019948676,0.0019904347,0.075501874,0.029533505,0.28972605,0.0019908664,0.5992624
1,Mellunkylä,False,0.009545963,0.6111902,0.009550018,0.3410614,0.009564618,0.009543791,0.009543982
2,Oulunkylä,True,0.50777185,0.005302207,0.0052995984,0.005310181,0.46569988,0.0053052334,0.0053110444
1,Pasila,False,0.4566535,0.0026089684,0.0026140183,0.0026087714,0.53029764,0.002609144,0.0026079467
2,Malmi,False,0.12519225,0.6186987,0.01305423,0.013098955,0.01306077,0.013001699,0.20389335
1,Herttoniemi,False,0.27526045,0.0028643298,0.0028645738,0.0028681946,0.40045583,0.31281546,0.0028711432
2,Kaarela,False,0.18463588,0.0057289684,0.0057241176,0.005719905,0.0057259616,0.4103241,0.38214105
1,Vuosaari,False,0.0020480051,0.0020466296,0.094554834,0.0020534561,0.8951946,0.0020497523,0.0020526757
2,Vironniemi,False,0.005111142,0.0051127393,0.5635277,0.0051152227,0.41089097,0.0051298095,0.0051123933
2,Vuosaari,False,0.005970271,0.6118706,0.005994181,0.052828856,0.005980593,0.0059720757,0.31138343
1,Kampinmalmi,False,0.0031885519,0.0031942087,0.24871568,0.24976045,0.1511917,0.34076634,0.0031830221
2,Kampinmalmi,True,0.46034425,0.00795418,0.49984905,0.0079735555,0.00796454,0.0079511525,0.007963253
1,,False,0.0035783106,0.0035895335,0.17232993,0.8097498,0.003582147,0.0035806894,0.00358959
2,Ullanlinna,True,0.4253657,0.016015863,0.015934769,0.015899276,0.49498686,0.015889032,0.015908461
1,Östersundom,False,0.010248036,0.9385332,0.010268062,0.010210658,0.0102424575,0.010249703,0.010247885
2,Laajasalo,False,0.01303921,0.013032048,0.013028687,0.012995165,0.5212568,0.013026822,0.41362125
1,Östersundom,False,0.006540742,0.511348,0.006548132,0.006508314,0.45600545,0.006523206,0.0065261843
2,Kampinmalmi,False,0.009558167,0.22540087,0.009595666,0.23730859,0.009563708,0.009538086,0.4990349
1,Kampinmalmi,False,0.0022773328,0.002280435,0.47394592,0.002278777,0.38290325,0.13403252,0.002281788
2,Vironniemi,True,0.40824693,0.0065146154,0.006514421,0.0065088477,0.5591862,0.0065147313,0.006514241
1,Laajasalo,False,0.002278182,0.0022777987,0.20218138,0.17771639,0.0022809831,0.002275318,0.6109899
2,Vironniemi,False,0.28013086,0.0023928992,0.45764557,0.11863946,0.0023913248,0.094891876,0.04390798
1,Ullanlinna,False,0.0023893453,0.0023938979,0.12436778,0.0023866144,0.0023936548,0.44264188,0.42342684
1,Kampinmalmi,False,0.0642259,0.13921526,0.3457591,0.065829255,0.0022768918,0.38041952,0.0022740546
2,Pukinmäki,False,0.008941425,0.3454399,0.17299311,0.008951765,0.4457522,0.008960419,0.008961218
2,Maunula,False,0.011954496,0.011956712,0.011941553,0.011913899,0.011948889,0.01192837,0.92835605
1,Kaarela,False,0.004944323,0.0049426854,0.004942801,0.38654086,0.3604694,0.23322287,0.0049370425
2,Ullanlinna,True,0.12726696,0.46442375,0.30931747,0.008441767,0.0084517775,0.07365451,0.008443767
1,Kampinmalmi,False,0.0020797793,0.0020776254,0.0020817283,0.0020758915,0.98752576,0.002083487,0.0020757667
1,Kampinmalmi,False,0.17744054,0.06324234,0.04854025,0.0057345307,0.005729373,0.69358826,0.0057247328
1,Kampinmalmi,False,0.005739851,0.6868421,0.0057234997,0.005722943,0.28452355,0.0057207583,0.0057273377
2,Munkkiniemi,False,0.009561085,0.009536001,0.009534996,0.0095462445,0.009549946,0.10954643,0.8427253
2,Vironniemi,True,0.003492972,0.003495304,0.0034966336,0.003504223,0.97902524,0.0034919195,0.0034936715
2,Maunula,False,0.24644771,0.008412267,0.077426925,0.0084308935,0.008433295,0.008419287,0.64242965
2,Maunula,False,0.005314674,0.005303827,0.0053003943,0.0053473795,0.0053084292,0.0052971914,0.96812814
1,Vallila,False,0.05955088,0.025361126,0.51137984,0.0020189316,0.0020166873,0.18471794,0.21495456
2,,False,0.004625057,0.004626813,0.004623921,0.0046191043,0.0046300427,0.004614095,0.97226095
2,Vanhakaupunki,False,0.011028296,0.011015416,0.011008575,0.14578544,0.011046972,0.011002798,0.7991125
