Area,Year,Demographic Diversity Index,Economic Prosperity Index,Socioeconomic Dependency Index,Public Service Accessibility Index
Jakomäki,2023,0.49377500294043974,0.22016972026956474,0.6579974358262123,1.0093595155074324
Kaarela,2018,0.4897817977179158,0.4039595541657358,0.4364499831628029,0.5514450465471724
Kaarela,2019,0.4920550310132919,0.4140126092376716,0.43307341105278974,0.5294137264056559
Kaarela,2020,0.4939150656512394,0.3654173475970125,0.43952291172395835,0.5252795976441004
Kaarela,2021,0.49221200283149147,0.39145165283167577,0.4582082045212421,0.5204918032786885
Kaarela,2022,0.49280165696017414,0.40051380540895065,0.4676052757327533,0.5113215447547267
Kaarela,2023,0.49773132533931924,0.3868514666320431,0.4906489183944907,0.5008676447389179
Kallio,2018,0.44353365125069644,0.45564621631971436,0.0855962151205145,1.1614988385011615
Kallio,2019,0.44612954745248307,0.47247894829714715,0.09528973374104396,1.1061946902654867
Kallio,2020,0.4498861058721542,0.412382279005066,0.10091765104995332,1.0641579272054287
Kallio,2021,0.457051650383943,0.4550214109825823,0.10903141347189303,1.0263275323516288
Kallio,2022,0.4616017095590891,0.45197418828103697,0.10983733732604312,0.9912653717963451
Kallio,2023,0.4626694303179596,0.4468678868144051,0.11333732488439487,0.9691555705376707
Kampinmalmi,2018,0.49957190929876016,0.5478378450814132,0.2149385767026053,0.7695314408560121
Kampinmalmi,2019,0.5028758875002795,0.5674753511005027,0.2256513850684959,0.7551421585079349
Kampinmalmi,2020,0.505777580684888,0.5025644237144743,0.22834761942258,0.7288292457195742
Kampinmalmi,2021,0.5098957229491604,0.5424270825052221,0.2445379423172109,0.7201975398966574
Kampinmalmi,2022,0.5139701318871476,0.5356314681938621,0.25150299534670945,0.708932550131659
Kampinmalmi,2023,0.5163584995322311,0.533435671553012,0.25760361418042965,0.6927796960566539
Kulosaari,2018,0.5350962368415502,0.6228009684098292,0.20665971634381441,0.8422760169703021
Kulosaari,2019,0.5372488809686973,0.6525622666512879,0.2174864735091509,0.8458646616541353
Kulosaari,2020,0.5381920428530724,0.6144275307213883,0.25179969415054604,0.8179835191468734
Kulosaari,2021,0.5354021724063921,0.6748682863612667,0.20473839942111607,0.8329220138203357
Kulosaari,2022,0.535454687485327,0.6799363325805301,0.22105667354822922,0.8282208588957055
Kulosaari,2023,0.5358093434784724,0.6660968375076222,0.25467817761563305,0.8120789220404235
Laajasalo,2018,0.4769428001646529,0.49127950050587016,0.37810307593296855,0.6635616987179487
Laajasalo,2019,0.4819598004713792,0.4950869356231135,0.38352843804254033,0.6489689964245481
Laajasalo,2020,0.48484129091698636,0.45656598482889704,0.3882988439606845,0.6173990028423653
Laajasalo,2021,0.486053425389079,0.4829199962341632,0.39004013949626204,0.598113122376202
Laajasalo,2022,0.4889299387862755,0.4880586925044794,0.40117775621427393,0.5831609524228687
Laajasalo,2023,0.49424687645932897,0.48285608370929023,0.42331481547204974,0.5683036671670598
