Area,Population,Demographic dependency ratio,Proportion of youth (0-14),Proportion of elderly (65+),Proportion of working age (15-64),Proportion of foreign language,Proportion of finnish and sami,Proportion of swedish,Proportion of males,Proportion of females,Proportion of higher education,Proportion of basic education,Proportion of upper secondary education,Proportion of lower tertiary education,Proportion of one person household,Proportion of four or more persons household,Unemployment rate,Proportion of creative class in workforce,Proportion of non creative class in workforce,Income subject to state taxation euro average,Gini coefficient disposable income,Proportion of buildings constructed before 1980 in total housing stock,Proportion of private rental apartments,Proportion of subsidised rental apartments,Population density,Service points for dog areas per 1000 persons,Service points for parks and green areas per 1000 persons,Service points for playgrounds per 1000 persons,Service points for cultural activities per 1000 persons,Service points for circular economy per 1000 persons,Service points for daycare and pre primary education per 1000 persons,Service points for child and family services per 1000 persons,Service points for social welfare services per 1000 persons
Latokartano,24823.714285714286,0.5054732641295798,0.18705231557133434,0.14869332170400734,0.6642543627246583,0.24324990153804835,0.7349279465821551,0.021822151879796452,0.4750437655957517,0.5249562344042483,0.1864523772854256,0.2712848139395959,0.331106812605536,0.21115599616944236,0.48113694282653097,0.12420614405174839,12.19047619047619,0.5846697580506677,0.41533024194933227,52592.04761904762,26.904761904761905,0.3529245537279325,0.21734190249686625,0.3129565011754482,0.0025842898774721475,0.20143507017066525,0.20143507017066525,0.3625831263071975,0.8863143087509273,0.44315715437546366,3.0618130665941123,0.04028701403413301,0.5237311824437297
Lauttasaari,24745.095238095237,0.5379399527220579,0.15894197298921378,0.19081359584453803,0.6502444311662481,0.07802285508279978,0.7882896046059019,0.1336875403112983,0.4655801615447097,0.5344198384552903,0.3782881554809966,0.12954933694840398,0.225636043454744,0.2665264641158553,0.4869211398519414,0.10411897243917581,6.057142857142857,0.36927355044386156,0.6307264495561383,93724.76190476191,37.142857142857146,0.743739656474114,0.3430166945163836,0.010012946262664033,0.006355299024617519,0.12124045539709906,0.040413485132366325,0.40413485132366356,0.40413485132366356,0.1616539405294654,1.4144719796328227,0.0,0.3637213661912972
Länsi-Pakila,7074.9047619047615,0.7591091342458478,0.20675359957262782,0.22473344673433088,0.5685129536930413,0.045058027043468854,0.9187967387319592,0.036145234224571866,0.4942743507927739,0.5057256492072261,0.34614135522434164,0.16718072436625353,0.22167982548302953,0.26499809492637505,0.2515691166971942,0.22475666709139064,6.071428571428572,0.16532160258183212,0.8346783974181679,113706.52380952382,28.571428571428573,0.5755529926582783,0.08861106579896269,0.0001522348069662619,0.0030401486628664665,0.0,0.0,0.1413558808842888,0.28271176176857765,0.28271176176857765,0.5654235235371553,0.0,1.978982332380044
Malmi,29680.333333333332,0.579026238163771,0.17870592408122926,0.18791338614437011,0.6333806897744007,0.1855622203211738,0.7871585444503462,0.02727923522848,0.4832143444954018,0.5167856555045982,0.15511358282487572,0.2810898557292575,0.3423739724102899,0.2214225890355768,0.4499898564962079,0.13616516923193567,12.071428571428571,0.21264664455556845,0.7873533554444314,60806.90476190476,26.952380952380953,0.25557726107805767,0.17089355792285013,0.2545990768942031,0.0027057915352644286,0.16852303115161016,0.2359322436122542,0.4381598809941864,1.0111381869096612,0.2359322436122542,2.797482317116729,0.6740921246064407,1.8874579488980343
Maunula,9024.666666666666,0.6141836650145511,0.15750924657540488,0.2229551910199808,0.6195355624046142,0.13509891197911864,0.8247129636422665,0.04018812437861486,0.47645074423086226,0.5235492557691378,0.2147120339705219,0.2613215316789451,0.32404501184721335,0.19992142250331948,0.5623153941713417,0.10550833006511767,13.161904761904761,0.31844762906515395,0.681552370934846,53248.42857142857,27.80952380952381,0.906377078455502,0.18444239913763347,0.38691591358207117,0.0023811939329598524,0.11082362191705508,0.11082362191705508,0.6649417315023307,1.3298834630046614,0.0,1.662354328755827,0.6649417315023307,1.773177950672882
Mellunkylä,39625.142857142855,0.5623442815015254,0.17066235981429748,0.18926785134531934,0.6400697888403831,0.35518793935218,0.6203256885971503,0.024486372050669572,0.48302423371500564,0.5169757662849944,0.08057482603542282,0.38596289945682677,0.3765718310298423,0.1568904434779079,0.4903256952643118,0.12443756059704174,18.238095238095237,0.15284547816110006,0.8471545218388999,45316.619047619046,24.80952380952381,0.46289093720340396,0.21242101362133917,0.3251547261282168,0.004037896153852023,0.10095104134490264,0.07571328100867694,0.4038041653796106,2.296636190596535,0.35332864470715925,2.3723494716052125,0.2523776033622566,0.7823705704229956
Munkkiniemi,18825.190476190477,0.5900202910956945,0.153825111752232,0.21724875637533453,0.6289261318724334,0.08289660288628702,0.8112533344460686,0.10585006266764423,0.4446380620389353,0.5553619379610647,0.34278686005464065,0.1480791174516588,0.24780589320594423,0.2613281292877562,0.5201870278964278,0.10442192275709594,7.066666666666667,0.37839080770558403,0.6216091922944159,93669.14285714286,43.19047619047619,0.8049257683259734,0.3409221427252749,0.07129828808512449,0.003972265213002567,0.10627303345673489,0.1594095501851024,0.5845016840120423,0.797047750925512,0.0,1.9660511189495968,0.0,0.5313651672836748
Myllypuro,12748.42857142857,0.6091314509079561,0.18034190999481264,0.19819338433856726,0.62146470566662,0.22673922416187622,0.7425545757887945,0.030706200049329252,0.48615606586166166,0.5138439341383383,0.1488748821588906,0.30627856334550607,0.35356513630789815,0.1912814181877051,0.4582406919141533,0.13152190305843098,12.523809523809524,0.4438120229964585,0.5561879770035416,54989.52380952381,25.714285714285715,0.6176541188808716,0.1745157063090604,0.28543965579330655,0.0036065666194252,0.15689085608180217,0.07844542804090107,0.3137817121636044,1.1766814206135165,0.4706725682454066,2.510253697308835,0.0,2.11802655710433
Oulunkylä,14988.47619047619,0.5790942895046145,0.17238218569460514,0.19431430353226092,0.6333035107731338,0.12371606752260025,0.8408116489386481,0.03547228353875148,0.46970761376947384,0.5302923862305261,0.2568319878175656,0.21550098762281453,0.28858789274460345,0.23907913181501628,0.46973335909281677,0.12201500704158053,9.233333333333334,0.08932749194221182,0.9106725080577883,67795.61904761905,29.80952380952381,0.570396780359169,0.2890869181779686,0.11898224703148602,0.0034497696061836095,0.1335325403840973,0.06676627019204862,0.40059762115229197,0.7344289721125353,0.801195242304584,1.8694555653773628,0.9347277826886814,1.9362218355694112
Pasila,12049.57142857143,0.39230643523259173,0.11718970828689274,0.16432972985860111,0.718480561854506,0.2069795941725992,0.7637558485460609,0.02926455728133974,0.47583174023404656,0.5241682597659534,0.21924001277065938,0.21729502202040596,0.31411081846489075,0.24935414674404383,0.4957885142269636,0.07187530216586943,9.280952380952382,0.36774166767803085,0.632258332321969,57831.76190476191,27.428571428571427,0.31368942117690063,0.32765936232313103,0.24105902876234497,0.0027420060407224427,0.2540485271106248,0.3387313694808331,0.5080970542212496,1.6089740050339572,0.08468284237020825,2.6251681134764566,0.2540485271106248,1.524291162663749
